       year,sale volume,人均可支配收入,充电站数
2011,0.9,14551,0.68
2012,1.3,16510,1.17
2013,1.8,18311,2.3
2014,7.5,20167,3.96
2015,32.9,21966,5.78
2016,50.2,23821,20.4
2017,76.8,25974,44.6
2018,124.7,28228,77.7
2019,120.6,30733,121.9
2020,132.3,32189,168.1
2021,350.7,35128,261.7
2022,385.1,36883,521.0
,亿,元,万台
